영화명,개봉일,날짜,관객수,누적관객,스크린수,상영횟수,순위
무파사: 라이온 킹,2024-12-18,2025-01-04,21325,737283,634,944,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-04,18193,631241,534,786,7
모아나 2,2024-11-27,2025-01-04,16392,3439017,572,795,8
위키드,2024-11-20,2025-01-04,14771,2108579,354,489,9
시빌 워: 분열의 시대,2024-12-31,2025-01-04,13723,70649,495,824,10
하얼빈,2024-12-24,2025-01-05,174400,3672922,1413,6133,1
소방관,2024-12-04,2025-01-05,47406,3551951,881,2077,2
보고타: 마지막 기회의 땅,2024-12-31,2025-01-05,36860,322552,758,2371,3
수퍼 소닉3,2025-01-01,2025-01-05,36677,198934,877,1876,4
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-05,31687,194399,785,1513,5
무파사: 라이온 킹,2024-12-18,2025-01-05,19696,756979,630,944,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-05,16340,647581,537,778,7
모아나 2,2024-11-27,2025-01-05,14830,3453847,560,779,8
위키드,2024-11-20,2025-01-05,10447,2119026,338,477,9
시빌 워: 분열의 시대,2024-12-31,2025-01-05,9724,80373,478,763,10
하얼빈,2024-12-24,2025-01-06,56908,3729830,1313,5321,1
소방관,2024-12-04,2025-01-06,17418,3569369,747,1953,2
보고타: 마지막 기회의 땅,2024-12-31,2025-01-06,14063,336615,711,2055,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-06,7298,201697,543,893,4
수퍼 소닉3,2025-01-01,2025-01-06,6056,204990,625,1139,5
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-06,5507,653088,445,653,6
무파사: 라이온 킹,2024-12-18,2025-01-06,5375,762354,471,654,7
위키드,2024-11-20,2025-01-06,4946,2123972,347,475,8
모아나 2,2024-11-27,2025-01-06,4614,3458461,421,570,9
시빌 워: 분열의 시대,2024-12-31,2025-01-06,4433,84806,485,754,10
하얼빈,2024-12-24,2025-01-07,49163,3778993,1322,5318,1
소방관,2024-12-04,2025-01-07,16456,3585825,744,1933,2
보고타: 마지막 기회의 땅,2024-12-31,2025-01-07,11178,347793,713,1979,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-07,7245,208942,539,858,4
수퍼 소닉3,2025-01-01,2025-01-07,7062,212052,648,1162,5
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-07,5885,658973,457,669,6
무파사: 라이온 킹,2024-12-18,2025-01-07,4761,767115,481,675,7
모아나 2,2024-11-27,2025-01-07,4726,3463187,421,575,8
위키드,2024-11-20,2025-01-07,4386,2128358,341,481,9
시빌 워: 분열의 시대,2024-12-31,2025-01-07,3576,88382,473,697,10
하얼빈,2024-12-24,2025-01-08,48571,3827564,1140,4371,1
동화지만 청불입니다,2025-01-08,2025-01-08,20410,21851,645,2121,2
소방관,2024-12-04,2025-01-08,14277,3600102,658,1502,3
페라리,2025-01-08,2025-01-08,10489,11097,562,1313,4
보고타: 마지막 기회의 땅,2024-12-31,2025-01-08,8410,356203,623,1120,5
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-08,6424,215366,506,784,6
데드데드 데몬즈 디디디디 디스트럭션: 파트1,2025-01-08,2025-01-08,5620,7025,375,663,7
수퍼 소닉3,2025-01-01,2025-01-08,5390,217442,501,736,8
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-08,4955,663928,372,477,9
러브레터,1999-11-20,2025-01-08,4598,192218,158,294,10
하얼빈,2024-12-24,2025-01-09,44838,3872402,1170,4410,1
동화지만 청불입니다,2025-01-08,2025-01-09,14350,36201,627,1914,2
소방관,2024-12-04,2025-01-09,14054,3614156,708,1579,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-09,6501,221867,487,732,4
보고타: 마지막 기회의 땅,2024-12-31,2025-01-09,6104,362307,610,1072,5
수퍼 소닉3,2025-01-01,2025-01-09,5257,222699,506,754,6
페라리,2025-01-08,2025-01-09,5183,16280,532,1088,7
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-09,4645,668573,379,494,8
무파사: 라이온 킹,2024-12-18,2025-01-09,4330,775466,371,458,9
위키드,2024-11-20,2025-01-09,4082,2136433,304,407,10
하얼빈,2024-12-24,2025-01-10,54928,3927330,1199,4759,1
소방관,2024-12-04,2025-01-10,17448,3631604,768,1822,2
동화지만 청불입니다,2025-01-08,2025-01-10,15535,51736,621,1913,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-10,7065,228932,521,796,4
보고타: 마지막 기회의 땅,2024-12-31,2025-01-10,7035,369342,621,1154,5
수퍼 소닉3,2025-01-01,2025-01-10,6086,228785,551,815,6
위키드,2024-11-20,2025-01-10,5492,2141925,329,458,7
무파사: 라이온 킹,2024-12-18,2025-01-10,5392,780858,388,508,8
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-10,5114,673687,406,541,9
페라리,2025-01-08,2025-01-10,4553,20833,527,1002,10
하얼빈,2024-12-24,2025-01-11,134688,4062018,1247,5186,1
소방관,2024-12-04,2025-01-11,37603,3669207,779,2067,2
동화지만 청불입니다,2025-01-08,2025-01-11,27675,79411,668,1782,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-11,24741,253673,740,1404,4
수퍼 소닉3,2025-01-01,2025-01-11,24351,253136,731,1369,5
보고타: 마지막 기회의 땅,2024-12-31,2025-01-11,14127,383469,661,1151,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-11,13574,687261,508,739,7
무파사: 라이온 킹,2024-12-18,2025-01-11,13006,793864,499,694,8
위키드,2024-11-20,2025-01-11,11494,2153419,342,508,9
모아나 2,2024-11-27,2025-01-11,9777,3485095,452,583,10
하얼빈,2024-12-24,2025-01-12,118374,4180392,1243,4969,1
소방관,2024-12-04,2025-01-12,33764,3702971,780,1991,2
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-12,24340,278013,740,1395,3
수퍼 소닉3,2025-01-01,2025-01-12,23722,276858,730,1345,4
동화지만 청불입니다,2025-01-08,2025-01-12,22356,101767,664,1686,5
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-12,13779,701040,509,745,6
무파사: 라이온 킹,2024-12-18,2025-01-12,12969,806833,501,706,7
보고타: 마지막 기회의 땅,2024-12-31,2025-01-12,12818,396287,622,1080,8
모아나 2,2024-11-27,2025-01-12,10191,3495286,448,567,9
위키드,2024-11-20,2025-01-12,9930,2163349,345,499,10
하얼빈,2024-12-24,2025-01-13,37257,4217649,1082,4140,1
소방관,2024-12-04,2025-01-13,11710,3714681,666,1728,2
동화지만 청불입니다,2025-01-08,2025-01-13,7037,108804,570,1428,3
보고타: 마지막 기회의 땅,2024-12-31,2025-01-13,5401,401688,518,887,4
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-13,3899,704939,406,566,5
수퍼 소닉3,2025-01-01,2025-01-13,3672,280530,462,683,6
위키드,2024-11-20,2025-01-13,3414,2166763,310,426,7
서브스턴스,2024-12-11,2025-01-13,3245,208398,171,239,8
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-13,3190,281203,405,567,9
모아나 2,2024-11-27,2025-01-13,2768,3498054,288,354,10
하얼빈,2024-12-24,2025-01-14,32625,4250274,1080,4102,1
소방관,2024-12-04,2025-01-14,10911,3725592,679,1725,2
동화지만 청불입니다,2025-01-08,2025-01-14,8478,117282,576,1446,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-14,5060,286263,426,582,4
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-14,4029,708968,413,573,5
보고타: 마지막 기회의 땅,2024-12-31,2025-01-14,3884,405572,509,866,6
수퍼 소닉3,2025-01-01,2025-01-14,3882,284412,475,713,7
위키드,2024-11-20,2025-01-14,3204,2169967,307,423,8
서브스턴스,2024-12-11,2025-01-14,3195,211593,168,235,9
모아나 2,2024-11-27,2025-01-14,3065,3501119,299,372,10
하얼빈,2024-12-24,2025-01-15,31895,4282169,1073,3891,1
소방관,2024-12-04,2025-01-15,10761,3736353,616,1689,2
동화지만 청불입니다,2025-01-08,2025-01-15,6328,123610,537,1069,3
서브스턴스,2024-12-11,2025-01-15,6122,217715,276,393,4
폭락,2025-01-15,2025-01-15,4675,5449,376,652,5
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-15,4247,290510,379,503,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-15,4217,713185,396,522,7
노스페라투,2025-01-15,2025-01-15,3822,4948,362,629,8
해리 포터와 죽음의 성물2,2011-07-13,2025-01-15,3651,4425149,41,215,9
수퍼 소닉3,2025-01-01,2025-01-15,3586,287998,414,540,10
하얼빈,2024-12-24,2025-01-16,31286,4313455,1082,3901,1
소방관,2024-12-04,2025-01-16,10056,3746409,630,1662,2
동화지만 청불입니다,2025-01-08,2025-01-16,6341,129951,535,1075,3
서브스턴스,2024-12-11,2025-01-16,5524,223239,309,443,4
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-16,4422,294932,368,480,5
수퍼 소닉3,2025-01-01,2025-01-16,3824,291822,414,530,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-16,3659,716844,404,540,7
위키드,2024-11-20,2025-01-16,3130,2176365,290,377,8
폭락,2025-01-15,2025-01-16,3108,8557,364,589,9
모아나 2,2024-11-27,2025-01-16,2575,3506095,252,300,10
하얼빈,2024-12-24,2025-01-17,36634,4350089,1125,4206,1
소방관,2024-12-04,2025-01-17,12505,3758914,639,1779,2
서브스턴스,2024-12-11,2025-01-17,7381,230620,332,491,3
동화지만 청불입니다,2025-01-08,2025-01-17,5934,135885,553,1096,4
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-17,4489,299421,411,543,5
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-17,4325,721169,414,557,6
위키드,2024-11-20,2025-01-17,3697,2180062,306,411,7
수퍼 소닉3,2025-01-01,2025-01-17,3491,295313,424,561,8
폭락,2025-01-15,2025-01-17,3245,11802,360,573,9
모아나 2,2024-11-27,2025-01-17,3025,3509120,278,331,10
하얼빈,2024-12-24,2025-01-18,79205,4429294,1160,4734,1
소방관,2024-12-04,2025-01-18,24839,3783753,702,2059,2
수퍼 소닉3,2025-01-01,2025-01-18,13588,308901,613,1024,3
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-18,13582,313003,635,1109,4
서브스턴스,2024-12-11,2025-01-18,13070,243690,338,532,5
동화지만 청불입니다,2025-01-08,2025-01-18,12074,147959,594,1210,6
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-18,10730,731899,497,718,7
위키드,2024-11-20,2025-01-18,8045,2188107,333,469,8
무파사: 라이온 킹,2024-12-18,2025-01-18,7494,826544,415,544,9
모아나 2,2024-11-27,2025-01-18,6598,3515718,363,460,10
하얼빈,2024-12-24,2025-01-19,66404,4495698,1131,4476,1
소방관,2024-12-04,2025-01-19,22383,3806136,679,1940,2
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-19,13589,326592,625,1105,3
수퍼 소닉3,2025-01-01,2025-01-19,13199,322100,600,1019,4
서브스턴스,2024-12-11,2025-01-19,10851,254541,344,528,5
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-19,10667,742566,499,713,6
동화지만 청불입니다,2025-01-08,2025-01-19,9657,157616,591,1129,7
무파사: 라이온 킹,2024-12-18,2025-01-19,7288,833832,414,545,8
위키드,2024-11-20,2025-01-19,7058,2195165,335,466,9
모아나 2,2024-11-27,2025-01-19,6799,3522517,366,462,10
하얼빈,2024-12-24,2025-01-20,21819,4517517,1017,3498,1
검은 수녀들,2025-01-24,2025-01-20,8738,8738,41,41,2
소방관,2024-12-04,2025-01-20,7697,3813833,583,1504,3
서브스턴스,2024-12-11,2025-01-20,5673,260214,315,516,4
동화지만 청불입니다,2025-01-08,2025-01-20,4150,161766,502,945,5
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-20,2929,745495,382,507,6
위키드,2024-11-20,2025-01-20,2471,2197636,280,374,7
수퍼 소닉3,2025-01-01,2025-01-20,2325,324425,349,450,8
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-20,1842,328434,300,385,9
모아나 2,2024-11-27,2025-01-20,1710,3524227,247,284,10
하얼빈,2024-12-24,2025-01-21,21270,4538787,1040,3516,1
소방관,2024-12-04,2025-01-21,7464,3821297,597,1502,2
서브스턴스,2024-12-11,2025-01-21,5587,265801,332,538,3
검은 수녀들,2025-01-24,2025-01-21,3168,11906,11,11,4
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-21,3018,748513,394,522,5
위키드,2024-11-20,2025-01-21,2728,2200364,282,379,6
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-21,2650,331084,305,378,7
수퍼 소닉3,2025-01-01,2025-01-21,2430,326855,387,493,8
동화지만 청불입니다,2025-01-08,2025-01-21,2398,164164,456,763,9
모아나 2,2024-11-27,2025-01-21,2156,3526383,252,295,10
히트맨2,2025-01-22,2025-01-22,100621,103989,1375,5598,1
하얼빈,2024-12-24,2025-01-22,15691,4554478,812,2533,2
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-22,12329,12970,575,1383,3
서브스턴스,2024-12-11,2025-01-22,5657,271458,302,437,4
소방관,2024-12-04,2025-01-22,4591,3825888,506,985,5
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-22,2474,333558,207,235,6
고스트캣 앙주,2025-01-22,2025-01-22,2285,4161,129,268,7
위키드,2024-11-20,2025-01-22,2160,2202524,209,269,8
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-22,1843,750356,248,304,9
꼬마 판다 팡의 아프리카 대모험,2025-01-22,2025-01-22,1729,3143,159,246,10
히트맨2,2025-01-22,2025-01-23,75696,179685,1410,5612,1
하얼빈,2024-12-24,2025-01-23,14910,4569388,814,2485,2
서브스턴스,2024-12-11,2025-01-23,5782,277240,304,449,3
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-23,5631,18601,526,1023,4
검은 수녀들,2025-01-24,2025-01-23,5581,17657,32,32,5
소방관,2024-12-04,2025-01-23,4338,3830226,509,946,6
위키드,2024-11-20,2025-01-23,2275,2204799,215,273,7
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-23,1882,752238,251,315,8
해리 포터와 죽음의 성물2,2011-07-13,2025-01-23,1829,4443440,76,251,9
더 폴: 디렉터스 컷,2024-12-25,2025-01-23,1593,74081,61,101,10
검은 수녀들,2025-01-24,2025-01-24,163727,181384,1662,7298,1
히트맨2,2025-01-22,2025-01-24,69250,248935,1134,3952,2
아이유 콘서트 : 더 위닝,2025-01-24,2025-01-24,12500,12500,99,331,3
하얼빈,2024-12-24,2025-01-24,10531,4579919,618,1182,4
귀신경찰,2025-01-24,2025-01-24,6049,8673,378,784,5
서브스턴스,2024-12-11,2025-01-24,5518,282758,223,295,6
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-24,4807,23408,504,873,7
대가족,2024-12-11,2025-01-24,2354,324530,80,87,8
소방관,2024-12-04,2025-01-24,1952,3832178,290,382,9
더 폴: 디렉터스 컷,2024-12-25,2025-01-24,1520,75601,60,81,10
검은 수녀들,2025-01-24,2025-01-25,217527,398911,1635,7286,1
히트맨2,2025-01-22,2025-01-25,157064,405999,1342,4493,2
하얼빈,2024-12-24,2025-01-25,27436,4607355,614,1112,3
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-25,21460,44868,657,1314,4
서브스턴스,2024-12-11,2025-01-25,9754,292512,244,317,5
아이유 콘서트 : 더 위닝,2025-01-24,2025-01-25,8182,20682,100,326,6
귀신경찰,2025-01-24,2025-01-25,6795,15468,348,582,7
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-25,6299,342389,391,470,8
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-25,4245,757955,224,257,9
소방관,2024-12-04,2025-01-25,4011,3836189,293,361,10
검은 수녀들,2025-01-24,2025-01-26,207234,606145,1638,7151,1
히트맨2,2025-01-22,2025-01-26,198876,604875,1400,4717,2
하얼빈,2024-12-24,2025-01-26,34860,4642215,637,1139,3
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-26,19717,64585,667,1292,4
서브스턴스,2024-12-11,2025-01-26,10358,302870,251,322,5
아이유 콘서트 : 더 위닝,2025-01-24,2025-01-26,7379,28061,100,322,6
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-26,7208,349597,375,462,7
귀신경찰,2025-01-24,2025-01-26,6481,21949,359,533,8
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-26,4940,762895,231,273,9
수퍼 소닉3,2025-01-01,2025-01-26,4515,339618,249,273,10
히트맨2,2025-01-22,2025-01-27,189778,794653,1275,4607,1
검은 수녀들,2025-01-24,2025-01-27,162437,768582,1372,5774,2
말할 수 없는 비밀,2025-01-27,2025-01-27,50389,52674,864,3246,3
하얼빈,2024-12-24,2025-01-27,27105,4669320,547,788,4
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-27,16355,80940,573,1017,5
서브스턴스,2024-12-11,2025-01-27,9603,312473,220,283,6
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,2025-01-27,7030,7190,190,374,7
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-27,6984,356581,292,343,8
귀신경찰,2025-01-24,2025-01-27,4006,25955,311,386,9
꼬마 판다 팡의 아프리카 대모험,2025-01-22,2025-01-27,3596,16484,172,228,10
히트맨2,2025-01-22,2025-01-28,199686,994339,1507,5251,1
검은 수녀들,2025-01-24,2025-01-28,130861,899443,1357,5312,2
말할 수 없는 비밀,2025-01-27,2025-01-28,41682,94356,799,2616,3
하얼빈,2024-12-24,2025-01-28,34774,4704094,695,1067,4
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-28,10705,91645,562,915,5
서브스턴스,2024-12-11,2025-01-28,8613,321086,236,314,6
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-28,5318,361899,272,323,7
귀신경찰,2025-01-24,2025-01-28,4327,30282,308,377,8
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,2025-01-28,3955,11145,169,327,9
위키드,2024-11-20,2025-01-28,3402,2218291,97,114,10
히트맨2,2025-01-22,2025-01-29,272151,1266490,1588,5830,1
검은 수녀들,2025-01-24,2025-01-29,143097,1042540,1278,4833,2
하얼빈,2024-12-24,2025-01-29,52872,4756966,796,1324,3
말할 수 없는 비밀,2025-01-27,2025-01-29,40645,135001,755,2346,4
서브스턴스,2024-12-11,2025-01-29,9292,330378,258,355,5
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-29,8840,100485,532,818,6
귀신경찰,2025-01-24,2025-01-29,5439,35721,293,363,7
아이유 콘서트 : 더 위닝,2025-01-24,2025-01-29,5359,39411,114,345,8
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-29,4075,365974,273,309,9
위키드,2024-11-20,2025-01-29,3525,2221816,119,143,10
히트맨2,2025-01-22,2025-01-30,251495,1517985,1579,5857,1
검은 수녀들,2025-01-24,2025-01-30,143948,1186488,1281,4782,2
말할 수 없는 비밀,2025-01-27,2025-01-30,56798,191799,753,2370,3
하얼빈,2024-12-24,2025-01-30,44918,4801884,802,1362,4
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-30,15680,116165,564,914,5
서브스턴스,2024-12-11,2025-01-30,11492,341870,259,355,6
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-30,8147,374121,292,346,7
귀신경찰,2025-01-24,2025-01-30,6646,42367,304,386,8
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,2025-01-30,5677,20151,198,361,9
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-30,4769,776977,176,204,10
히트맨2,2025-01-22,2025-01-31,136443,1654428,1466,5820,1
검은 수녀들,2025-01-24,2025-01-31,81309,1267797,1216,4566,2
말할 수 없는 비밀,2025-01-27,2025-01-31,43494,235293,717,2369,3
하얼빈,2024-12-24,2025-01-31,21915,4823799,716,1306,4
서브스턴스,2024-12-11,2025-01-31,11442,353312,261,394,5
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-01-31,6450,122615,498,760,6
아이유 콘서트 : 더 위닝,2025-01-24,2025-01-31,2631,46405,115,322,7
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-01-31,2473,376594,220,253,8
더 폴: 디렉터스 컷,2024-12-25,2025-01-31,2289,92389,64,93,9
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-01-31,2109,779086,164,189,10
히트맨2,2025-01-22,2025-02-01,177129,1831557,1495,6165,1
검은 수녀들,2025-01-24,2025-02-01,96041,1363838,1192,4387,2
말할 수 없는 비밀,2025-01-27,2025-02-01,63000,298293,846,2521,3
하얼빈,2024-12-24,2025-02-01,23292,4847091,711,1390,4
서브스턴스,2024-12-11,2025-02-01,15031,368343,283,433,5
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-02-01,12342,134957,538,837,6
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-02-01,5903,382497,299,343,7
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,2025-02-01,4570,26386,204,357,8
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-02-01,3801,782887,173,205,9
아이유 콘서트 : 더 위닝,2025-01-24,2025-02-01,3156,49561,113,316,10
히트맨2,2025-01-22,2025-02-02,137171,1968728,1457,5827,1
검은 수녀들,2025-01-24,2025-02-02,66545,1430383,1154,4078,2
말할 수 없는 비밀,2025-01-27,2025-02-02,54367,352660,864,2522,3
하얼빈,2024-12-24,2025-02-02,16025,4863116,665,1278,4
서브스턴스,2024-12-11,2025-02-02,11540,379883,281,436,5
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-02-02,11412,146369,535,813,6
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-02-02,5903,388400,292,332,7
아이유 콘서트 : 더 위닝,2025-01-24,2025-02-02,5372,54933,115,293,8
바다 탐험대 옥토넛 어보브 앤 비욘드 : 극지방 대작전,2025-01-27,2025-02-02,4245,30631,208,345,9
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,2025-02-02,3883,786770,176,205,10
히트맨2,2025-01-22,2025-02-03,42293,2011021,1252,4715,1
검은 수녀들,2025-01-24,2025-02-03,27623,1458006,1003,3335,2
말할 수 없는 비밀,2025-01-27,2025-02-03,20026,372686,747,2320,3
서브스턴스,2024-12-11,2025-02-03,6296,386179,266,426,4
하얼빈,2024-12-24,2025-02-03,5453,4868569,562,999,5
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-02-03,1553,147922,322,398,6
더 폴: 디렉터스 컷,2024-12-25,2025-02-03,1276,99268,52,96,7
아이유 콘서트 : 더 위닝,2025-01-24,2025-02-03,1270,56203,111,254,8
위키드,2024-11-20,2025-02-03,858,2233786,105,123,9
죽은 시인의 사회,1990-05-19,2025-02-03,854,74095,56,89,10
히트맨2,2025-01-22,2025-02-04,38667,2049688,1268,4638,1
검은 수녀들,2025-01-24,2025-02-04,24747,1482753,1010,3292,2
말할 수 없는 비밀,2025-01-27,2025-02-04,21192,393878,774,2349,3
서브스턴스,2024-12-11,2025-02-04,5586,391765,275,434,4
하얼빈,2024-12-24,2025-02-04,5096,4873665,557,963,5
극장판 포켓몬스터 AG: 뮤와 파동의 용사 루카리오,2025-01-22,2025-02-04,1953,149875,320,401,6
아이유 콘서트 : 더 위닝,2025-01-24,2025-02-04,1415,57618,113,267,7
뽀로로 극장판 바닷속 대모험,2025-01-01,2025-02-04,1199,390371,139,149,8
더 폴: 디렉터스 컷,2024-12-25,2025-02-04,1172,100440,56,101,9
꼬마 판다 팡의 아프리카 대모험,2025-01-22,2025-02-04,1112,29036,92,101,10
브로큰,2025-02-05,2025-02-05,42561,44115,805,3267,1
히트맨2,2025-01-22,2025-02-05,33533,2083221,1043,3591,2
말할 수 없는 비밀,2025-01-27,2025-02-05,22311,416189,752,2232,3
검은 수녀들,2025-01-24,2025-02-05,18675,1501428,790,2320,4
서브스턴스,2024-12-11,2025-02-05,4990,396755,271,394,5
하얼빈,2024-12-24,2025-02-05,3392,4877057,409,596,6
극장판 쿠로코의 농구 라스트 게임,2017-04-27,2025-02-05,2654,66631,305,513,7
