영화명,개봉일,날짜,관객수,누적관객,스크린수,상영횟수,순위
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-07,31357,749094,623,1131,4
아쿠아맨과 로스트 킹덤,2023-12-20,2024-01-07,15709,845060,526,783,5
더 퍼스트 슬램덩크,2023-01-04,2024-01-07,8236,4822351,282,407,6
괴물,2023-11-29,2024-01-07,7324,428300,195,281,7
트롤: 밴드 투게더,2023-12-20,2024-01-07,6575,396373,344,418,8
뽀로로 극장판 슈퍼스타 대모험,2023-12-13,2024-01-07,5545,357851,219,297,9
"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,2024-01-07,3240,60669,159,197,10
위시,2024-01-03,2024-01-08,46317,668936,1208,4835,1
서울의 봄,2023-11-22,2024-01-08,32765,12571768,1179,3531,2
노량: 죽음의 바다,2023-12-20,2024-01-08,30628,4198661,1262,3554,3
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-08,10321,759415,559,1013,4
아쿠아맨과 로스트 킹덤,2023-12-20,2024-01-08,5744,850804,502,765,5
더 퍼스트 슬램덩크,2023-01-04,2024-01-08,3494,4825845,273,409,6
괴물,2023-11-29,2024-01-08,3414,431714,200,282,7
트롤: 밴드 투게더,2023-12-20,2024-01-08,2150,398523,262,314,8
뽀로로 극장판 슈퍼스타 대모험,2023-12-13,2024-01-08,1344,359195,161,210,9
말하고 싶은 비밀,2023-12-13,2024-01-08,861,99221,64,82,10
위시,2024-01-03,2024-01-09,42542,711478,1235,4704,1
서울의 봄,2023-11-22,2024-01-09,29076,12600844,1191,3478,2
노량: 죽음의 바다,2023-12-20,2024-01-09,26983,4225644,1277,3496,3
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-09,9614,769029,581,1045,4
아쿠아맨과 로스트 킹덤,2023-12-20,2024-01-09,5702,856506,509,773,5
괴물,2023-11-29,2024-01-09,3683,435397,205,286,6
더 퍼스트 슬램덩크,2023-01-04,2024-01-09,3245,4829090,270,405,7
트롤: 밴드 투게더,2023-12-20,2024-01-09,2573,401096,258,303,8
뽀로로 극장판 슈퍼스타 대모험,2023-12-13,2024-01-09,1319,360514,141,180,9
말하고 싶은 비밀,2023-12-13,2024-01-09,971,100192,70,92,10
외계+인 2부,2024-01-10,2024-01-10,94495,103534,1268,5147,1
위시,2024-01-03,2024-01-10,35622,747100,865,2589,2
서울의 봄,2023-11-22,2024-01-10,24108,12624952,840,2164,3
노량: 죽음의 바다,2023-12-20,2024-01-10,21198,4246842,891,2116,4
인투 더 월드,2024-01-10,2024-01-10,14739,26652,807,1922,5
길위에 김대중,2024-01-10,2024-01-10,10915,27359,404,579,6
스즈메의 문단속: 다녀왔어,2024-01-10,2024-01-10,6145,7336,168,187,7
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-10,6083,775112,387,519,8
지오디 마스터피스 더 무비,2024-01-10,2024-01-10,5209,5209,67,116,9
괴물,2023-11-29,2024-01-10,4343,439740,164,215,10
외계+인 2부,2024-01-10,2024-01-11,64993,168527,1269,5047,1
위시,2024-01-03,2024-01-11,33585,780685,876,2607,2
서울의 봄,2023-11-22,2024-01-11,22640,12647592,842,2167,3
노량: 죽음의 바다,2023-12-20,2024-01-11,20409,4267251,910,2121,4
인투 더 월드,2024-01-10,2024-01-11,13356,40008,791,1803,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-11,5757,780869,406,541,6
길위에 김대중,2024-01-10,2024-01-11,5453,32812,404,551,7
더 퍼스트 슬램덩크,2023-01-04,2024-01-11,3196,4834572,204,241,8
괴물,2023-11-29,2024-01-11,3066,442806,166,224,9
시민덕희,2024-01-24,2024-01-11,3063,3063,12,14,10
외계+인 2부,2024-01-10,2024-01-12,84840,253367,1335,5325,1
위시,2024-01-03,2024-01-12,40569,821254,933,2762,2
서울의 봄,2023-11-22,2024-01-12,27486,12675078,882,2270,3
노량: 죽음의 바다,2023-12-20,2024-01-12,25169,4292420,962,2235,4
인투 더 월드,2024-01-10,2024-01-12,14687,54695,795,1787,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-12,6410,787279,416,568,6
길위에 김대중,2024-01-10,2024-01-12,5432,38244,397,555,7
괴물,2023-11-29,2024-01-12,3706,446512,175,242,8
더 퍼스트 슬램덩크,2023-01-04,2024-01-12,3073,4837645,206,256,9
스즈메의 문단속: 다녀왔어,2024-01-10,2024-01-12,2717,12960,176,196,10
외계+인 2부,2024-01-10,2024-01-13,206416,459783,1390,5770,1
위시,2024-01-03,2024-01-13,90971,912225,1069,3325,2
서울의 봄,2023-11-22,2024-01-13,55697,12730775,923,2274,3
노량: 죽음의 바다,2023-12-20,2024-01-13,51535,4343955,981,2312,4
인투 더 월드,2024-01-10,2024-01-13,42741,97436,839,1919,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-13,17072,804351,478,723,6
길위에 김대중,2024-01-10,2024-01-13,10173,48417,414,577,7
괴물,2023-11-29,2024-01-13,5422,451934,180,241,8
더 퍼스트 슬램덩크,2023-01-04,2024-01-13,5157,4842802,212,258,9
스즈메의 문단속: 다녀왔어,2024-01-10,2024-01-13,4934,17894,185,228,10
외계+인 2부,2024-01-10,2024-01-14,189318,649101,1366,5531,1
위시,2024-01-03,2024-01-14,82108,994333,1048,3180,2
서울의 봄,2023-11-22,2024-01-14,51569,12782344,907,2184,3
노량: 죽음의 바다,2023-12-20,2024-01-14,44598,4388553,943,2199,4
인투 더 월드,2024-01-10,2024-01-14,43707,141143,821,1850,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-14,17978,822329,481,715,6
길위에 김대중,2024-01-10,2024-01-14,10226,58643,406,557,7
괴물,2023-11-29,2024-01-14,5089,457023,185,244,8
더 퍼스트 슬램덩크,2023-01-04,2024-01-14,4878,4847680,209,252,9
스즈메의 문단속: 다녀왔어,2024-01-10,2024-01-14,4643,22537,182,226,10
외계+인 2부,2024-01-10,2024-01-15,43510,692611,1243,4755,1
서울의 봄,2023-11-22,2024-01-15,22017,12804361,804,1999,2
위시,2024-01-03,2024-01-15,21000,1015333,855,2489,3
노량: 죽음의 바다,2023-12-20,2024-01-15,14616,4403169,843,1865,4
인투 더 월드,2024-01-10,2024-01-15,9276,150419,680,1361,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-15,4859,827188,404,580,6
길위에 김대중,2024-01-10,2024-01-15,3141,61784,391,531,7
괴물,2023-11-29,2024-01-15,2174,459197,174,237,8
더 퍼스트 슬램덩크,2023-01-04,2024-01-15,2003,4849683,192,230,9
스즈메의 문단속: 다녀왔어,2024-01-10,2024-01-15,1598,24135,165,202,10
외계+인 2부,2024-01-10,2024-01-16,41111,733722,1273,4804,1
위시,2024-01-03,2024-01-16,22170,1037503,867,2509,2
서울의 봄,2023-11-22,2024-01-16,18133,12822494,823,2060,3
노량: 죽음의 바다,2023-12-20,2024-01-16,13165,4416334,842,1880,4
인투 더 월드,2024-01-10,2024-01-16,10195,160614,698,1421,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-16,4971,832159,421,596,6
길위에 김대중,2024-01-10,2024-01-16,3538,65322,406,545,7
괴물,2023-11-29,2024-01-16,2266,461463,176,242,8
더 퍼스트 슬램덩크,2023-01-04,2024-01-16,2140,4851823,203,242,9
시민덕희,2024-01-24,2024-01-16,1980,6092,6,6,10
외계+인 2부,2024-01-10,2024-01-17,41458,775180,1253,4501,1
위시,2024-01-03,2024-01-17,21566,1059069,802,2401,2
서울의 봄,2023-11-22,2024-01-17,16629,12839123,757,1890,3
노량: 죽음의 바다,2023-12-20,2024-01-17,12330,4428664,782,1755,4
인투 더 월드,2024-01-10,2024-01-17,8785,169399,542,1002,5
엔드 오브 에반게리온,2024-01-17,2024-01-17,6323,6323,109,251,6
덤 머니,2024-01-17,2024-01-17,5917,7145,465,862,7
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-17,4417,836576,384,520,8
길위에 김대중,2024-01-10,2024-01-17,3641,68963,370,535,9
괴물,2023-11-29,2024-01-17,2313,463776,167,234,10
외계+인 2부,2024-01-10,2024-01-18,40751,815931,1253,4517,1
위시,2024-01-03,2024-01-18,21943,1081012,812,2432,2
서울의 봄,2023-11-22,2024-01-18,16671,12855794,755,1900,3
노량: 죽음의 바다,2023-12-20,2024-01-18,11893,4440557,783,1730,4
인투 더 월드,2024-01-10,2024-01-18,8584,177983,555,994,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-18,4437,841013,394,539,6
덤 머니,2024-01-17,2024-01-18,4367,11512,444,793,7
길위에 김대중,2024-01-10,2024-01-18,3431,72394,369,520,8
엔드 오브 에반게리온,2024-01-17,2024-01-18,2402,8725,111,237,9
괴물,2023-11-29,2024-01-18,2078,465854,173,243,10
외계+인 2부,2024-01-10,2024-01-19,51234,867165,1322,4746,1
위시,2024-01-03,2024-01-19,25376,1106388,830,2598,2
서울의 봄,2023-11-22,2024-01-19,20032,12875826,807,2003,3
노량: 죽음의 바다,2023-12-20,2024-01-19,14095,4454652,808,1830,4
인투 더 월드,2024-01-10,2024-01-19,9635,187618,567,1028,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-19,5438,846451,410,583,6
덤 머니,2024-01-17,2024-01-19,4279,15791,439,804,7
길위에 김대중,2024-01-10,2024-01-19,3399,75793,358,512,8
괴물,2023-11-29,2024-01-19,2273,468127,179,252,9
지오디 마스터피스 더 무비,2024-01-10,2024-01-19,2212,19584,48,74,10
외계+인 2부,2024-01-10,2024-01-20,114994,982159,1379,5242,1
위시,2024-01-03,2024-01-20,57290,1163678,938,2994,2
서울의 봄,2023-11-22,2024-01-20,37748,12913574,835,2073,3
인투 더 월드,2024-01-10,2024-01-20,29585,217203,688,1389,4
노량: 죽음의 바다,2023-12-20,2024-01-20,25133,4479785,832,1870,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-20,13951,860402,468,701,6
시민덕희,2024-01-24,2024-01-20,9180,17252,271,275,7
길위에 김대중,2024-01-10,2024-01-20,7949,83742,377,531,8
덤 머니,2024-01-17,2024-01-20,5093,20884,438,711,9
괴물,2023-11-29,2024-01-20,3725,471852,183,247,10
외계+인 2부,2024-01-10,2024-01-21,111568,1093727,1357,5012,1
위시,2024-01-03,2024-01-21,51208,1214886,950,2880,2
서울의 봄,2023-11-22,2024-01-21,33334,12946908,814,1980,3
인투 더 월드,2024-01-10,2024-01-21,28689,245892,693,1371,4
노량: 죽음의 바다,2023-12-20,2024-01-21,23075,4502860,799,1793,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-21,13944,874346,458,688,6
시민덕희,2024-01-24,2024-01-21,11841,29093,273,279,7
길위에 김대중,2024-01-10,2024-01-21,8649,92391,370,519,8
덤 머니,2024-01-17,2024-01-21,4108,24992,411,651,9
괴물,2023-11-29,2024-01-21,3506,475358,172,240,10
외계+인 2부,2024-01-10,2024-01-22,28763,1122490,1224,4162,1
위시,2024-01-03,2024-01-22,14163,1229049,751,2199,2
서울의 봄,2023-11-22,2024-01-22,12615,12959523,746,1782,3
노량: 죽음의 바다,2023-12-20,2024-01-22,8062,4510922,697,1491,4
인투 더 월드,2024-01-10,2024-01-22,5682,251574,499,868,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-22,3646,877992,372,535,6
길위에 김대중,2024-01-10,2024-01-22,3185,95576,351,479,7
덤 머니,2024-01-17,2024-01-22,2340,27332,390,594,8
괴물,2023-11-29,2024-01-22,1573,476931,168,229,9
엔드 오브 에반게리온,2024-01-17,2024-01-22,1400,17182,123,228,10
외계+인 2부,2024-01-10,2024-01-23,26421,1148911,1240,4102,1
위시,2024-01-03,2024-01-23,13929,1242978,768,2129,2
서울의 봄,2023-11-22,2024-01-23,11847,12971370,754,1751,3
노량: 죽음의 바다,2023-12-20,2024-01-23,7687,4518609,699,1474,4
인투 더 월드,2024-01-10,2024-01-23,5608,257182,508,875,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-23,3588,881580,367,519,6
덤 머니,2024-01-17,2024-01-23,3026,30358,398,615,7
길위에 김대중,2024-01-10,2024-01-23,3016,98592,355,488,8
괴물,2023-11-29,2024-01-23,1697,478628,174,236,9
더 퍼스트 슬램덩크,2023-01-04,2024-01-23,1690,4865289,153,194,10
시민덕희,2024-01-24,2024-01-24,61242,91384,1136,4709,1
외계+인 2부,2024-01-10,2024-01-24,18917,1167828,873,2750,2
도그맨,2024-01-24,2024-01-24,10203,11321,496,1206,3
위시,2024-01-03,2024-01-24,9966,1252944,628,1435,4
서울의 봄,2023-11-22,2024-01-24,8455,12979825,624,1245,5
노량: 죽음의 바다,2023-12-20,2024-01-24,4383,4522992,530,897,6
인투 더 월드,2024-01-10,2024-01-24,3975,261157,406,542,7
너의 이름은.,2017-01-04,2024-01-24,3298,3892625,26,58,8
도그데이즈,2024-02-07,2024-01-24,3217,3464,10,14,9
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-24,2242,883822,250,309,10
시민덕희,2024-01-24,2024-01-25,50242,141626,1147,4579,1
외계+인 2부,2024-01-10,2024-01-25,15994,1183822,853,2565,2
위시,2024-01-03,2024-01-25,10540,1263484,641,1423,3
서울의 봄,2023-11-22,2024-01-25,7803,12987628,629,1230,4
도그맨,2024-01-24,2024-01-25,5221,16542,475,1036,5
인투 더 월드,2024-01-10,2024-01-25,4565,265722,416,541,6
노량: 죽음의 바다,2023-12-20,2024-01-25,4360,4527352,497,805,7
상견니,2023-01-25,2024-01-25,4170,365383,177,345,8
길위에 김대중,2024-01-10,2024-01-25,3005,102997,141,155,9
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-25,2444,886266,255,315,10
시민덕희,2024-01-24,2024-01-26,66955,208581,1167,4888,1
외계+인 2부,2024-01-10,2024-01-26,22999,1206821,923,2862,2
위시,2024-01-03,2024-01-26,13129,1276613,678,1535,3
서울의 봄,2023-11-22,2024-01-26,10172,12997800,647,1338,4
인투 더 월드,2024-01-10,2024-01-26,5271,270993,442,587,5
노량: 죽음의 바다,2023-12-20,2024-01-26,5056,4532408,554,941,6
도그맨,2024-01-24,2024-01-26,4929,21471,482,1034,7
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-26,2525,888791,264,348,8
너의 이름은.,2017-01-04,2024-01-26,2436,3897277,25,65,9
세기말의 사랑,2024-01-24,2024-01-26,1897,6224,111,140,10
시민덕희,2024-01-24,2024-01-27,153661,362242,1272,5343,1
외계+인 2부,2024-01-10,2024-01-27,52772,1259593,977,3198,2
위시,2024-01-03,2024-01-27,30604,1307217,845,2012,3
서울의 봄,2023-11-22,2024-01-27,21104,13018904,715,1465,4
인투 더 월드,2024-01-10,2024-01-27,17855,288848,603,1024,5
노량: 죽음의 바다,2023-12-20,2024-01-27,9656,4542064,580,983,6
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-27,9275,898066,389,562,7
도그맨,2024-01-24,2024-01-27,7222,28693,492,946,8
너의 이름은.,2017-01-04,2024-01-27,4614,3901891,26,86,9
길위에 김대중,2024-01-10,2024-01-27,3186,107480,156,186,10
시민덕희,2024-01-24,2024-01-28,142748,504990,1270,5197,1
외계+인 2부,2024-01-10,2024-01-28,47209,1306802,935,3009,2
위시,2024-01-03,2024-01-28,28474,1335691,825,1935,3
서울의 봄,2023-11-22,2024-01-28,19481,13038385,689,1384,4
인투 더 월드,2024-01-10,2024-01-28,18362,307210,594,1014,5
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-28,9217,907283,389,548,6
노량: 죽음의 바다,2023-12-20,2024-01-28,8667,4550731,563,917,7
도그맨,2024-01-24,2024-01-28,6372,35065,494,881,8
너의 이름은.,2017-01-04,2024-01-28,5518,3907409,25,88,9
길위에 김대중,2024-01-10,2024-01-28,3439,110919,149,177,10
시민덕희,2024-01-24,2024-01-29,46761,551751,1138,4571,1
외계+인 2부,2024-01-10,2024-01-29,13128,1319930,827,2481,2
서울의 봄,2023-11-22,2024-01-29,7802,13046187,630,1236,3
위시,2024-01-03,2024-01-29,7211,1342902,608,1284,4
노량: 죽음의 바다,2023-12-20,2024-01-29,3311,4554042,485,767,5
도그맨,2024-01-24,2024-01-29,3239,38304,440,798,6
도그데이즈,2024-02-07,2024-01-29,3237,6701,14,14,7
인투 더 월드,2024-01-10,2024-01-29,3223,310433,390,541,8
너의 이름은.,2017-01-04,2024-01-29,2310,3909719,25,90,9
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-01-29,2085,909368,278,367,10
시민덕희,2024-01-24,2024-01-30,46050,597801,1177,4636,1
외계+인 2부,2024-01-10,2024-01-30,13174,1333104,839,2448,2
위시,2024-01-03,2024-01-30,8412,1351314,628,1320,3
서울의 봄,2023-11-22,2024-01-30,7803,13053990,645,1251,4
도그데이즈,2024-02-07,2024-01-30,4001,10702,19,19,5
노량: 죽음의 바다,2023-12-20,2024-01-30,3961,4558003,539,830,6
도그맨,2024-01-24,2024-01-30,3911,42215,452,822,7
인투 더 월드,2024-01-10,2024-01-30,3897,314330,406,574,8
너의 이름은.,2017-01-04,2024-01-30,3529,3913248,25,93,9
괴물,2023-11-29,2024-01-30,2309,491362,125,161,10
웡카,2024-01-31,2024-01-31,179783,181301,1717,7405,1
시민덕희,2024-01-24,2024-01-31,64682,662483,966,3407,2
외계+인 2부,2024-01-10,2024-01-31,16516,1349620,663,1492,3
서울의 봄,2023-11-22,2024-01-31,6983,13060973,494,740,4
추락의 해부,2024-01-31,2024-01-31,6792,9779,225,316,5
위시,2024-01-03,2024-01-31,6158,1357472,489,746,6
괴물,2023-11-29,2024-01-31,2549,493911,82,103,7
노량: 죽음의 바다,2023-12-20,2024-01-31,2364,4560367,244,304,8
지오디 마스터피스 더 무비,2024-01-10,2024-01-31,2210,31346,29,39,9
정글번치: 월드투어,2024-01-31,2024-01-31,2085,2285,157,258,10
웡카,2024-01-31,2024-02-01,78687,259988,1646,6886,1
시민덕희,2024-01-24,2024-02-01,38132,700615,965,3279,2
외계+인 2부,2024-01-10,2024-02-01,7856,1357476,635,1313,3
도그데이즈,2024-02-07,2024-02-01,7499,18201,36,36,4
건국전쟁,2024-02-01,2024-02-01,5411,7162,167,310,5
서울의 봄,2023-11-22,2024-02-01,4857,13065830,498,705,6
추락의 해부,2024-01-31,2024-02-01,4729,14508,228,316,7
청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,2024-02-01,2024-02-01,3976,3976,84,137,8
위시,2024-01-03,2024-02-01,3887,1361359,441,632,9
정글번치: 월드투어,2024-01-31,2024-02-01,1738,4023,151,240,10
웡카,2024-01-31,2024-02-02,92026,352014,1681,7198,1
시민덕희,2024-01-24,2024-02-02,40652,741267,993,3448,2
외계+인 2부,2024-01-10,2024-02-02,9498,1366974,650,1349,3
서울의 봄,2023-11-22,2024-02-02,5485,13071315,497,708,4
건국전쟁,2024-02-01,2024-02-02,5434,12596,170,316,5
위시,2024-01-03,2024-02-02,4453,1365812,448,652,6
추락의 해부,2024-01-31,2024-02-02,4380,18888,235,327,7
지오디 마스터피스 더 무비,2024-01-10,2024-02-02,2595,34165,22,38,8
정글번치: 월드투어,2024-01-31,2024-02-02,2421,6444,166,265,9
인투 더 월드,2024-01-10,2024-02-02,1779,319344,192,222,10
웡카,2024-01-31,2024-02-03,226091,578105,1751,8082,1
시민덕희,2024-01-24,2024-02-03,97162,838429,1083,4016,2
외계+인 2부,2024-01-10,2024-02-03,19961,1386935,687,1334,3
건국전쟁,2024-02-01,2024-02-03,10689,23285,192,325,4
위시,2024-01-03,2024-02-03,10125,1375937,529,774,5
서울의 봄,2023-11-22,2024-02-03,9243,13080558,493,682,6
정글번치: 월드투어,2024-01-31,2024-02-03,7227,13671,189,336,7
추락의 해부,2024-01-31,2024-02-03,6358,25246,236,306,8
인투 더 월드,2024-01-10,2024-02-03,5949,325293,319,414,9
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-02-03,4087,919450,205,242,10
웡카,2024-01-31,2024-02-04,208615,786720,1753,7775,1
시민덕희,2024-01-24,2024-02-04,92539,930968,1071,3897,2
외계+인 2부,2024-01-10,2024-02-04,19309,1406244,670,1274,3
건국전쟁,2024-02-01,2024-02-04,12366,35651,181,308,4
위시,2024-01-03,2024-02-04,9917,1385854,517,759,5
서울의 봄,2023-11-22,2024-02-04,8521,13089079,483,663,6
정글번치: 월드투어,2024-01-31,2024-02-04,7043,20714,193,333,7
인투 더 월드,2024-01-10,2024-02-04,6811,332104,333,422,8
추락의 해부,2024-01-31,2024-02-04,6293,31539,232,306,9
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,2024-02-04,4664,924114,208,244,10
웡카,2024-01-31,2024-02-05,64984,851704,1575,6504,1
시민덕희,2024-01-24,2024-02-05,31503,962471,963,3377,2
건국전쟁,2024-02-01,2024-02-05,11687,47338,174,319,3
외계+인 2부,2024-01-10,2024-02-05,5504,1411748,581,1132,4
서울의 봄,2023-11-22,2024-02-05,4167,13093246,474,657,5
추락의 해부,2024-01-31,2024-02-05,3153,34692,222,308,6
위시,2024-01-03,2024-02-05,2506,1388360,372,482,7
인투 더 월드,2024-01-10,2024-02-05,1281,333385,161,181,8
괴물,2023-11-29,2024-02-05,1147,505344,76,95,9
